department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
UC Washington DC,UCDC,170,Washington DC Internship,4-8,,"Supervised internship (20-40 hours per week) in Washington DC government, nonprofit, or private institution consistent with student's interest.",Selected for Washington DC Center Program.,,,,,Pass/no pass only.,May be taken for credit 3 times.,UCDC 180,
UC Washington DC,UCDC,180,Washington-Themed Seminar,4,,UCDC core course (multiple topics offered each quarter). Enhances students' experiential learning and imparts knowledge and skills to help them transition into public service/private sector positions. One core course per quarter mandatory for all participants in Washington DC Center Program.,Selected for Washington DC Center Program.,,,,,,May be taken for credit 3 times as topics vary.,,
UC Washington DC,UCDC,190,Washington DC Elective,4,,"Studies in selected areas related to the UC Washington, DC Center Program (UCDC).",Selected for Washington DC Center Program.,,,,,,May be taken for credit 3 times as topics vary.,,
