department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ARTS,1,ArtsCore,4,IV,"An introduction to the arts in general, and to the arts at UCI. Concentration on (1) the interdisciplinary nature of the arts, and (2) the content of particular arts disciplines.",,,,,,,,,
ARTS,75,Digital Media: Exhibition,4,,A discussion and critique course in all media arts. Includes a review of key media arts concepts and the preparation of an end-of-quarter exhibition.,Proposal submission required.,,,,,,,,
ARTS,H81,Improvisation and Modes of Research / Creative Expression,4,IV,"Through immersion, readings, analysis, and observation, students are trained to recognize, build, and engage a set of ""improvisatory"" cognitive skills in order to enhance artistic creation, the generation of language, data analysis, and the application of the scientific method.",,Campuswide Honors Collegium students only. Seniors only.,,,,,,,
ARTS,199,Independent Study,1-4,,Individual study or directed projects as arranged with faculty member.,,,,,,,May be repeated for credit unlimited times.,,
