department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Latin,LATIN,1A,Fundamentals of Latin,5,,"Elements of Latin grammar, syntax, and vocabulary.",,LATIN 1A and LATIN S1AB may not be taken for full credit.,,LATIN S1AB.,,,,,
Latin,LATIN,1B,Fundamentals of Latin,5,,"Elements of Latin grammar, syntax, and vocabulary.",LATIN 1A. LATIN 1A with a grade of C or better,LATIN 1B and LATIN S1AB and LATIN S1BC may not be taken for full credit.,,"LATIN S1AB, LATIN S1BC.",,,,,
Latin,LATIN,1C,Fundamentals of Latin,5,VI,"Introduction to reading texts, including study of the poetry of Catullus and selected readings.",LATIN 1B. LATIN 1B with a grade of C or better,LATIN 1C and LATIN S1BC may not be taken for full credit.,,LATIN S1BC.,,,,,
Latin,LATIN,99,Special Studies in Latin,1-4,,Lower-division level independent research with Latin faculty.,,,,,,,May be repeated for credit unlimited times.,,
Latin,LATIN,100,Topics in Classical Latin,4,,"Selected readings in Classical Latin prose and poetry. Authors may include Cicero, Caesar, Ovid, Catullus, and others. Selections from prose and poetry will be read each quarter. Grammar and syntax review included.",LATIN 1C. LATIN 1C with a grade of C or better. Placement into Latin 100 is also accepted.,,,,,,Unlimited as topics vary.,,
Latin,LATIN,103,Seminar in Latin Prose,4,,Specialized and focused study of a particular Latin prose author or topic.,LATIN 100,,,,,,Unlimited as topics vary.,,
Latin,LATIN,104,Seminar in Latin Poetry,4,,Specialized and focused study of a particular topic or author in Latin poetry.,LATIN 100,,,,,,Unlimited as topics vary.,,
Latin,LATIN,198,Directed Group Study,1-4,,Special topics in Roman culture and civilization through directed reading and research.,,,,,,,May be repeated for credit unlimited times.,,
Latin,LATIN,199,Independent Studies in Latin,1-4,,Independent research with Latin faculty.,,,,,,,May be repeated for credit unlimited times.,,
