department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Culture and Theory,CLT&THY,200A,Political Economy: Methods and Critique,4,,"Introduction to canonical texts in Marxism coupled with an examination of the questions of race, gender, ethnicity, and sexuality that distend the calculus of the canon's assumptive logic. May be taken after CLT&THY 200B.",,Graduate students only.,CRITISM 200A.,,,,,,
Culture and Theory,CLT&THY,200B,Libidinal Economy: Methods and Critique,4,,"Introduction to canonical texts in psychoanalysis coupled with an examination of the questions of race, gender, ethnicity, and sexuality that distend the calculus of the canon's assumptive logic. May be taken before CLT&THY 200A.",,Graduate students only.,,,,,,,
Culture and Theory,CLT&THY,200C,Theory from Below,4,,"Introduction to systems of thought understudied or undervalued in academic canons--for instance, systems constituted in communities' practices or theories that do not seek permanence or generality.",CLT&THY 200A and CLT&THY 200B,Graduate students only.,,,,,,,
Culture and Theory,CLT&THY,241,"Ethics, Erotics, and Will: Gendered Black Politics, Sexualized Racisms, and the Humanities",4,,"Introduces doctoral students to an interdisciplinary conversation about black queer sexuality and black heteropatriarchy. Uses disciplinary formations as a tool for understanding knowledge formations about the shifting relations that constitute sexuality, gender, and racial blackness.",,Graduate students only.,,,,,,,
Culture and Theory,CLT&THY,242,Afro-Pessimism and the Status of the Subject,4,,Afro-Pessimism theorizes the Black as a being against which all other beings become legible as human subjects. Focuses on either the subject of psychoanalysis or the subject of capital accumulation in their explorations of the antagonism between Blackness.,,Graduate students only.,,,,,,,
Culture and Theory,CLT&THY,280,Independent Study,4,,Limited to students who have not yet received the M.A. degree.,,,,,,,May be repeated for credit unlimited times.,,
Culture and Theory,CLT&THY,289,Topics in Culture and Theory,4,,Seminars on various topics in Culture and Theory.,,,,,,,Unlimited as topics vary.,,
Culture and Theory,CLT&THY,298,Directed Reading,4-12,,Directed readings on a specific topic agreed upon by students and their instructors. Limited to students who have completed their M.A. degree and are preparing for their qualifying exam.,Completion of the M.A. degree.,,,,,,May be repeated for credit unlimited times.,,
Culture and Theory,CLT&THY,299,Dissertation Research,4-12,,Dissertation research in Culture and Theory.,,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
