department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
GLBLCLT,103A,Global Cultures I,4,,"Introduction to the processes by which economies, cultural practices, national entities, groups, individuals, and personal identities have undergone globalization. General background and methodological tools for understanding problems and processes of globalization.",,,,,,,Unlimited as topics vary.,,
GLBLCLT,103B,Global Cultures II,4,,"Introduction to the processes by which economies, cultural practices, national entities, groups, individuals, and personal identities have undergone globalization. Explores how globalization has manifested itself in specific topics, periods, or societies.",,,,,,,Unlimited as topics vary.,,
GLBLCLT,105,"Language Origins: Evolution, Genetics, and the Brain",4,,"Examines how human language(s) may have originated. Studies pertinent techniques (reconstruction) and addresses related questions, including is our language faculty inborn (i.e., genetically encoded)? Can brain imaging and population genetics research help to unlock this mystery of human evolution?.",,,"ANTHRO 152A, LSCI 175, HISTORY 135G.",,,,,,
GLBLCLT,191,Senior Seminar:Topics in Global Cultures,4,,"Students explore a topic(s) concerning processes and/or problems of globalization from an interdisciplinary perspective and build on their critical and analytical skills when investigating cultural and other phenomena that cut across national borders. Research assignments, class presentations, final seminar paper.",,Upper-division students only.,,,,,Unlimited as topics vary.,,
GLBLCLT,199,Independent Study,1-4,,Directed reading and research in consultation with a faculty advisor. Substantial written work required.,,,,,,,May be repeated for credit unlimited times.,,
