department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Global Middle East Studies,GLBL ME,60A,Humanities and Arts: Problems and Methods for Global Middle East Studies,4,IV and VIII,"Introduces students to the broad set of humanities and arts approaches to studying the Middle East as a global zone of cultural, political, and economic interaction.",,,,,,,,,
Global Middle East Studies,GLBL ME,60B,Social Sciences: Problems and Methods for Global Middle East Studies,4,III and VIII,"Introduces students to the broad set of social sciences approaches to studying the Middle East as a global zone of cultural, political, and economic interaction.",,,,,,,,,
Global Middle East Studies,GLBL ME,60C,Social Ecology and Sciences: Problems and Methods for Global Middle East Studies,4,III and VIII,"Introduces students to the broad set of approaches to studying the Middle East as a global zone of cultural, political, and economic interaction, focusing on the disciplines related to Social Ecology.",,,,,,,,,
Global Middle East Studies,GLBL ME,100W,Research and Writing for Global Middle East Studies,4,Ib,Research and writing course for Global Middle East Studies majors. The primary focus is to refine the skills necessary for students to engage in independent research and writing in Global Middle East Studies.,,Global Middle East Studies Majors have first consideration for enrollment.,,,,,,,GLBL ME 60A or GLBL ME 60B or GLBL ME 60C. Satisfactory completion of the Lower-Division Writing requirement.
