department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
CRITISM,200A,Political Economy: Methods and Critique,4,,"Introduction to canonical texts in Marxism coupled with an examination of the questions of race, gender, ethnicity, and sexuality that distend the calculus of the canon's assumptive logic. May be taken after CLT&THY 200B.",,Graduate students only.,CLT&THY 200A.,,,,,,
CRITISM,220B,Studies in Literary Theory and Its History,4,,"Introduction to criticism and aesthetics for beginning graduate students. Readings from continental, English, and American theorists.",,Graduate students only.,HUMAN 220B.,,,,,,
CRITISM,240,Advanced Theory Seminar,4,,Studies in selected areas of Criticism Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
