department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
CSE,90,Systems Engineering and Technical Communications,2,,"Introduces systems engineering concepts, including specifications and requirements, hardware and software design, integration, testing, and documentation. Emphasizes organization and writing of reports and effective presentations.",,Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
CSE,112,Electronic Devices and Circuits,4,,A first course in the design of Very Large Scale Integrated (VLSI) systems. Introduction to CMOS technology; MOS transistors and CMOS circuits. Analysis and synthesis of CMOS gates. Layout design techniques for building blocks and systems. Introduction to CAD tools.,PHYS 7D and (CSE 70A or EECS 70A),Computer Science Engineering Majors have first consideration for enrollment.,,"EECS 119, EECS 170D.",,,,,
CSE,199,Individual Study,1-4,,"Supervised independent reading, research, or design for undergraduate Engineering majors. Students taking individual study for design credit are to submit a written paper to the instructor and to the Undergraduate Student Affairs Office in the School of Engineering.",,,,,,,May be taken for credit for 8 units.,,
