dept,num
AC ENG,22A
AC ENG,22B
AFAM,40A
ANTHRO,10B
ANTHRO,2D
ANTHRO,30A
ANTHRO,125A
ANTHRO,134A
ANTHRO,162A
ANTHRO,41A
ANTHRO,2A
ANTHRO,121J
ANTHRO,199
ART,20B
ART,20A
ART,65A
ART,30B
ART,30A
ART,100
ART,9C
ART,71A
ASIANAM,54
ASIANAM,55
BIO SCI,93
BIO SCI,99
BIO SCI,100
BIO SCI,198
BIO SCI,D124
BIO SCI,94
BIO SCI,9B
BIO SCI,D136
BIO SCI,E179L
BIO SCI,97
BIO SCI,199
BIO SCI,E131L
BIO SCI,M122
BIO SCI,N165
BIO SCI,E109
BIO SCI,M116L
BIO SCI,M118L
BIO SCI,N113L
BIO SCI,37
BIO SCI,E106
BME,199
BME,50B
BANA,201A
BANA,211
BANA,200
CBE,297
CBE,299
CHEM,51LC
CHEM,1LE
CHEM,1B
CHEM,180
CHEM,1P
CHEM,1LC
CHEM,1C
CHEM,51C
CHEM,51B
CHEM,5
CHEM,1LD
CHC/LAT,120
CHC/LAT,178A
CHC/LAT,63
CHC/LAT,64
CHC/LAT,151
CHINESE,S1BC
ENGRCEE,11
ENGRCEE,80
ENGRCEE,299
CLASSIC,45B
CLASSIC,37A
CLASSIC,45A
COM LIT,10
COMPSCI,171
COMPSCI,298P
COMPSCI,131
COMPSCI,152
COMPSCI,143A
COMPSCI,132
COMPSCI,299
COMPSCI,199
CRM/LAW,C186
CRM/LAW,C106
CRM/LAW,C120
CRM/LAW,C139
CRM/LAW,C7
DANCE,185W
DRAMA,10
DRAMA,130
DRAMA,103
DRAMA,15
DRAMA,20B
EARTHSS,15
EARTHSS,1
EAS,55
ECON,122B
ECON,140
ECON,100C
ECON,122A
ECON,152A
ECON,13
ECON,15A
ECON,161A
ECON,299
ECON,167
ECON,199
ECON,20B
ECON,25
ECON,15B
ECON,100A
ECON,100B
ECON,135
ECON,20A
EDUC,243
EDUC,323A
EDUC,295
EDUC,50
EDUC,364
EDUC,347
EDUC,358
EDUC,131
EDUC,198
EDUC,202
EECS,299
EECS,70B
EECS,170C
EECS,170LC
EECS,199
EECS,31L
EECS,10
EECS,148
EECS,22
EECS,70LB
ENGR,80
ENGR,191
ENGR,291
ENGR,190W
ENGLISH,9
ENGLISH,299
ENGLISH,102D
ENGLISH,290
EURO ST,S11
FLM&MDA,85C
FLM&MDA,101C
FRENCH,S2BC
FRENCH,S1BC
GEN&SEX,50B
GEN&SEX,50C
HISTORY,16A
HISTORY,40C
HISTORY,70A
HISTORY,37A
HISTORY,60
HISTORY,21A
HISTORY,70D
HUMAN,10
IN4MATX,199
IN4MATX,43
IN4MATX,299
I&C SCI,6N
I&C SCI,139W
I&C SCI,45C
I&C SCI,192
I&C SCI,6B
I&C SCI,45J
INTL ST,11
INTL ST,1
INTL ST,177J
INTL ST,13
INTL ST,183A
INTL ST,153C
INTL ST,154B
INTL ST,140A
ITALIAN,50
JAPANSE,S1BC
KOREAN,S1BC
LSCI,68
LSCI,10
LSCI,2
LPS,29
LPS,60
LPS,299
LPS,31
MGMT,105
MGMT,199
MGMT,131B
MGMT,30B
MGMT,1
MGMT,141
MGMT,126
MGMT,102
MGMT,101
MGMT,107
MGMT,7
MGMTPHD,299
MPAC,200B
MPAC,200C
MATH,176
MATH,120A
MATH,5B
MATH,2E
MATH,180A
MATH,121A
MATH,3A
MATH,299A
MATH,9
MATH,1B
MATH,2A
MATH,105B
MATH,140A
MATH,105LB
MATH,140B
MATH,130A
MATH,2B
MATH,5A
MATH,3D
MATH,2D
MATH,13
ENGRMAE,299
ENGRMAE,80
ENGRMAE,297
ENGRMAE,130B
ENGRMAE,10
ENGRMAE,120
MOL BIO,200C
MOL BIO,200R
MUSIC,3
MUSIC,46
NUR SCI,294
NUR SCI,199
PHRMSCI,120L
PHRMSCI,42
PHRMSCI,90
PHRMSCI,197
PHILOS,31
PHILOS,2
PHILOS,131C
PHILOS,133
PHILOS,29
PHILOS,121A
PHILOS,3
PHILOS,1
PHILOS,4
PHYSICS,3C
PHYSICS,7D
PHYSICS,7LD
PHYSICS,2
PHYSICS,7E
PHYSICS,3B
POL SCI,51A
POL SCI,124B
POL SCI,153E
POL SCI,21A
POL SCI,156D
POL SCI,11A
POL SCI,61A
POL SCI,144A
POL SCI,179
PSCI,101D
PSCI,102C
PSCI,11B
PSCI,9
PSCI,11A
PSCI,103H
PSCI,11C
PSYCH,160D
PSYCH,9C
PSYCH,46A
PSYCH,140C
PSYCH,120A
PSYCH,199
PSYCH,9B
PSYCH,7A
PSYCH,9A
PUBHLTH,159
PUBHLTH,144
PUBHLTH,90
PUBHLTH,125
PUBHLTH,179
PUBHLTH,2
REL STD,5A
SOCECOL,13
SOCECOL,183A
SOCECOL,195
SOCECOL,194W
SOCECOL,199
SOCECOL,10
SOC SCI,197
SOC SCI,164B
SOC SCI,3A
SOC SCI,172AW
SOC SCI,89
SOC SCI,4A
SOC SCI,10C
SOC SCI,194A
SOC SCI,164C
SOC SCI,183A
SOC SCI,184GW
SOCIOL,1
SOCIOL,174
SOCIOL,173
SOCIOL,180A
SOCIOL,2
SOCIOL,299
SOCIOL,161
SOCIOL,10B
SOCIOL,199
SOCIOL,159
SOCIOL,3
SOCIOL,62
SWE,275P
SPANISH,S1BC
SPANISH,61
SPANISH,S2BC
STATS,67
STATS,299
STATS,115
STATS,7
STATS,111
STATS,120B
UNI STU,83
UNI STU,84
UPPP,4
UPPP,40
UPPP,5
UPPP,112
VIS STD,299
